office_no,municipality,corporation_name,office_name,wam_office_url,homepage_url,homepage_source,homepage_confidence,instagram_url,instagram_source,instagram_confidence,search_query,search_checked_at
621,大阪市,合同会社ワークプラス,大阪ジョブステーション,,,,,,,,"""大阪ジョブステーション"" ""大阪市"" ワークプラス 就労継続支援B型 Instagram",2026-03-12T16:12:55
622,大阪市,株式会社ウェクシルム,espo@島之内,https://esposhimanouti.sakura.ne.jp/wp/about,https://esposhimanouti.sakura.ne.jp/wp/about,wam_url,high,,,,"""espo@島之内"" ""大阪市"" ウェクシルム 就労継続支援B型 Instagram",2026-03-12T16:12:55
623,大阪市,一般社団法人なかの屋ホールディングス,なかの屋大手前,,,,,,,,"""なかの屋大手前"" ""大阪市"" なかの屋ホールディングス 就労継続支援B型 Instagram",2026-03-12T16:12:55
624,大阪市,NPO法人SDGsLABO,ユニバーサルラボ,,,,,,,,"""ユニバーサルラボ"" ""大阪市"" NPO法人SDGsLABO 就労継続支援B型 Instagram",2026-03-12T16:12:55
625,大阪市,株式会社かたち,未来のかたち　B型事業所,,,,,,,,"""未来のかたち　B型事業所"" ""大阪市"" かたち 就労継続支援B型 Instagram",2026-03-12T16:12:55
626,大阪市,株式会社T'Sコーポレーション,cocoiro,,,,,,,,"""cocoiro"" ""大阪市"" T'Sコーポレーション 就労継続支援B型 Instagram",2026-03-12T16:12:55
627,大阪市,一般社団法人ニュースタート,就労継続支援B型事業所スタートライン,,,,,,,,"""就労継続支援B型事業所スタートライン"" ""大阪市"" ニュースタート 就労継続支援B型 Instagram",2026-03-12T16:12:55
628,大阪市,株式会社ワンダフル,ワンダフル大阪,https://wonderful.co.jp,https://wonderful.co.jp,wam_url,high,,,,"""ワンダフル大阪"" ""大阪市"" ワンダフル 就労継続支援B型 Instagram",2026-03-12T16:12:55
629,大阪市,株式会社K.S,就労継続支援B型事業所ケーズ,,,,,,,,"""就労継続支援B型事業所ケーズ"" ""大阪市"" K.S 就労継続支援B型 Instagram",2026-03-12T16:12:55
63,大阪市,株式会社ディーコーポレーション,どうぶつの森ももんがハウス,,,,,,,,"""どうぶつの森ももんがハウス"" ""大阪市"" ディーコーポレーション 就労継続支援B型 Instagram",2026-03-12T16:12:55
